Sexe;LS;L1-2;L1-3;L1-4;L1-5;L1-6;L1-7;L1-8;L1-9;L1-10;L2-3;L2-4;L2-5;L2-6;L2-7;L2-8;L2-9;L2-10;L3-4;L3-5;L3-6;L3-7;L3-8;L3-9;L3-10;L4-5;L4-6;L4-7;L4-8;L4-9;L4-10;L5-6;L5-7;L5-8;L5-9;L5-10;L6-7;L6-8;L6-9;L6-10;L7-8;L7-9;L7-10;L8-9;L8-10;L9-10
1;35.4;2.9134;6.5736;9.153;8.0639;8.5473;7.0976;3.4525;3.5278;11.1399;3.7625;6.2713;5.2412;6.4823;5.2052;3.1253;3.6002;8.531;3.58;1.4904;3.9125;3.3895;4.8955;5.4365;4.8745;2.9662;6.7201;6.7233;8.3091;8.8659;5.5687;3.7637;3.8249;6.2185;6.738;3.6042;1.484;5.4523;5.7551;3.5885;3.9691;4.2837;4.8169;0.5596;8.5535;8.9613
1;36.246;3.1434;7.0949;9.942;8.9269;9.5237;8.1152;3.9291;4.0310000000000015;12.0847;4.0382;6.8564;5.8481;7.1504;5.8713;3.3944;3.8494;9.1927;3.9968;1.8347;4.2166;3.5517;5.1962;5.6979;5.2365;3.1949;7.2128;7.1322;9.0257;9.5462;5.904;4.0244;4.0037;6.8542;7.3307;3.6916;1.4326;6.0513;6.3174;3.7087;4.6238;4.9048;4.8393;0.5266;9.2055;9.574
1;40.489;3.3132;7.3589;10.1821;9.4206;10.2407;8.6183;4.0266;4.103;13.007;4.1658;6.9071;6.1694;7.7749;6.2715;3.4019;3.9434;9.956;3.9855;2.0958;4.5877;3.6616;5.1734;5.7895;5.8257;2.8488;7.3908;7.1364;8.975;9.6132;6.0823;4.5467;4.3612;7.1778;7.772;4.1628;1.6344;6.5622;6.8886;4.1437;4.9364;5.2856;5.3448;0.6437;9.9411;10.4074
1;38.9055;3.3136;7.3794;10.2925;9.3322;10.0714;8.7231;3.934;4.0621;12.8876;4.1057;7.1283;6.0378;7.4283;6.1207;3.2037;3.7519;9.7428;4.2992;1.9674;4.5234;3.631;5.3726;5.9422;5.7289;3.4143;7.8358;7.4458;9.3982;9.9988;6.5314;4.4239;4.0938;7.2217;7.7648;4.1227;1.3484;6.5386;6.8184;4.1075;5.2317;5.546;5.0013;0.6085;9.9621;10.373
0;38.3959;3.0312;6.8802;9.962;8.7497;9.3002;7.6776;3.3971;3.511;11.9699;3.9163;7.009;5.7517;6.8935;5.3842;2.9132;3.3825;9.1164;4.2137;1.8931;3.9221;3.0862;5.0502;5.5105;5.2457;3.1309;6.9672;6.8935;9.0317;9.5245;5.6541;3.8595;3.8231;6.8765;7.3163;3.7008;1.6361;6.2873;6.5196;3.7353;4.6598;4.9111;5.0235;0.5082;9.454;9.7879
1;36.4008;3.1964;6.7194;9.8198;8.6976;9.004;7.4393;3.3121;3.3992;11.6896;3.6505;6.6576;5.6009;6.6436;5.3084;3.1001;3.614;8.8118;4.0756;1.9789;3.8683;3.3013;4.9652;5.4949;5.2186;3.153;6.7726;6.9721;8.8675;9.4214;5.6887;3.6245;3.9269;6.7949;7.2953;3.5334;1.6298;6.057;6.3533;3.5336;4.4302;4.7243;4.9838;0.5632;9.1632;9.5526
0;35.8136;2.4704;6.1531;8.7041;7.7346;8.4535;6.8328;3.0837;3.1202;10.7959;3.7526;6.2835;5.3076;6.6416;5.0659;2.8247;3.1842;8.5286;3.634;1.5951;3.9945;2.987;4.7578;5.2034;4.8566;2.8295;6.7822;6.3449;8.1635;8.6176;5.497000000000001;3.9638;3.5891;6.2727;6.7085;3.5882;1.621;5.7476;6.019;3.5608;4.186;4.4914;4.6199;0.4541;8.6332;8.9951
1;35.5987;2.8155;6.6751;9.4943;8.2603;8.7228;7.4504;3.3254;3.3574;11.26;3.8971;6.7903;5.4647;6.4112;5.2688;2.8234;3.2408;8.5841;4.0197;1.5983;3.5592;3.1063;5.0254;5.517;4.7662;3.1952;6.6754;6.8008;8.7821;9.2864;5.5284;3.4984;3.648;6.545;7.0252;3.4547;1.3253;5.8743;6.2062;3.4305;4.5493;4.8823;4.5851;0.5044;8.8896;9.2939
1;49.0728;3.9396;8.8019;11.6064;11.0299;12.4315;9.7967;4.8305;5.0334;15.4116;4.9318;7.7598;7.1491;9.3293;6.8215;4.0535;4.8163;11.6905;4.252;2.228;5.6665;4.0885;6.4496;7.2564;6.8349;3.609;8.6885;7.997999999999998;10.4402;11.2823;7.2664;5.0837;4.6206;8.4201;9.1798;4.8023;2.6378;8.1493;8.5552;4.7657;5.5744;6.0546;6.5844;0.8546;11.9336;12.5283
0;41.5059;3.104;7.4509;10.7527;9.6371;9.9751;8.3296;3.6838;3.7753;12.9005;4.4093;7.7276;6.5598;7.4704;5.9757;3.2771;3.8412;9.9807;4.5094;2.2205;4.1153;3.431;5.6976;6.3374;5.6412;3.2307;7.3777;7.5019;9.9698;10.6302;6.1427;4.151;4.3728;7.8454;8.4683;3.9174;1.6956;6.8743;7.2954;3.9198;5.1791;5.6089;5.3843;0.6626;10.3339;10.8492
