Sexe;LS;L1-2;L1-3;L1-4;L1-5;L1-6;L1-7;L1-8;L1-9;L1-10;L2-3;L2-4;L2-5;L2-6;L2-7;L2-8;L2-9;L2-10;L3-4;L3-5;L3-6;L3-7;L3-8;L3-9;L3-10;L4-5;L4-6;L4-7;L4-8;L4-9;L4-10;L5-6;L5-7;L5-8;L5-9;L5-10;L6-7;L6-8;L6-9;L6-10;L7-8;L7-9;L7-10;L8-9;L8-10;L9-10
0;55.0779;4.0511;8.7516;12.3558;11.2121;13.2733;10.8588;4.8213;4.9984;16.2355;4.74;8.5645;7.1709;9.8689;7.7416;4.1791;4.8248;12.2742;5.4802;2.5036;6.0934;4.9238;6.7106;7.3909;7.545;4.288;9.7916;9.7748;11.8273;12.5357;7.7712;5.5762;5.5486;9.0917;9.7482;5.3075;2.5952;9.2768;9.6648;5.3049;6.6975;7.0713;7.3545;0.711;13.2643;13.8119
0;59.0629;3.6701;8.4465;11.945;11.0813;12.9234;10.5177;5.4222;5.7283;15.9138;4.8249;8.4757;7.4593;9.9807;7.8259;4.8295;5.4925;12.4079;5.3114;2.6366;6.2991;5.0784;6.8072;7.5107;7.6447;4.77;10.043;9.8307;11.9107;12.6385;8.3798;5.2888;5.2359;8.9357;9.5843;5.1369;2.5392;8.5981;8.9425;5.0648;6.0596;6.4187;7.0762;0.7351;12.7125;13.216
0;51.1863;3.2987;7.4308;10.5396;9.7648;10.7461;8.8674;3.9621;4.2365;13.7671;4.1952;7.3261;6.4994;8.1789;6.502000000000002;3.8141;4.4289999999999985;10.657;4.2912;2.3485;5.0474;4.1507;6.0388;6.6295;6.5168;3.1803;7.9471;7.8887;10.1475;10.7694;6.6406;4.7705;4.824;8.2293;8.7846;4.5196;1.9547;7.5591;7.8388;4.53;5.6045;5.8933;6.1217;0.6443;11.351;11.7665
1;47.4682;3.9892;8.4605;11.7018;10.8554;11.8955;9.9868;4.5145;4.7614;14.9387;4.5354;7.8332;6.899;8.7724;7.0583;3.9204;4.7429;11.1754;4.6146;2.4107;5.4741;4.5246;6.3127;7.1341;6.7222;3.5039;8.7518;8.5851;10.6919;11.5535;7.2008;5.2512;5.189;8.5703;9.3496;4.7354;1.9567;7.9136;8.3114;4.6881;5.9572;6.3711;6.2086;0.8804;11.7052;12.2954
0;45.6005;2.9728;7.2225;10.209;9.4586;10.3452;8.448;4.1126;4.3391;13.194;4.2832;7.3862;6.4965;7.8656;6.1001;3.5731;4.2061;10.3299;4.4415;2.2668;4.5424;3.5354;5.6515;6.3448;6.0921;3.4104;7.7129;7.5524;9.8548;10.5737;6.5604;4.3038;4.3077;7.7797;8.4441;4.1826;1.9408;7.0523;7.4646;4.1616;5.1242;5.5658;5.7237;0.7234;10.6408;11.1754
0;46.6778;3.5041;7.606;11.4957;9.9063;10.6399;9.0674;3.9808;4.1155;13.6665;4.2012;8.0653;6.4817;7.9795;6.5749;3.5824;4.1457;10.4359;5.0582;2.3005;4.8067;4.0293;5.67;6.2544;6.2991;3.979;8.3001;8.347000000000001;10.5657;11.1751;6.7568;4.3577;4.4034;7.7524;8.2996;4.2623;1.6177;7.1372;7.4398;4.2562;5.5195;5.8277;5.5964;0.621;10.7581;11.1806
0;50.1512;3.684;8.0735;11.1967;10.3745;11.7904;9.7566;4.7454;4.9759;14.6291;4.459;7.6814;6.726;8.9163;7.0039;4.1054;4.8151;11.1427;4.8579;2.3197;5.5608;4.2763;6.0662;6.8259;6.7335;3.9636;9.1901;8.6494;10.6387;11.4289;7.5915;5.2308;4.811;8.1939;8.9169;4.7614;2.0444;7.6957;8.0763;4.6939;5.6865;6.1151;6.0763;0.7948;11.427;11.9881
1;49.0264;4.2999;8.8287;12.2966;11.3032;12.3709;10.086;4.9249;5.1158;15.7713;4.6599;8.0778;7.0753;9.1138;7.0623;4.2761;5.0283;11.7742;4.9132;2.4975;5.5402;4.3645;6.3388;7.1114;7.1505;3.6801;8.9904;8.7739;11.039;11.8462;7.4866;5.3199;5.225;8.6778;9.4115;5.0662;2.3203;7.9703;8.3508;5.0212;5.657;6.0688;6.8311;0.8226;12.1493;12.7065
0;52.5089;3.7856;8.2681;11.114;10.505;11.9796;10.0447;4.4711;4.6216;15.0054;4.5502;7.4447;6.7637;9.1422;7.3721;4.1265;4.7204;11.4558;4.3319;2.2427;5.9498;4.8688;6.4873;7.1328;6.9924;3.5501;9.176;8.7311;10.5334;11.1981;7.5947;5.6263;5.301;8.5342;9.1548;5.0655;1.9646;8.113;8.4504;5.0574;6.1545;6.5101;6.4277;0.6665;12.0352;12.5309
0;47.0239;3.0519;7.1089;10.3148;9.168;10.4856;8.6048;3.9101;4.0872;13.3807;4.1129;7.3971;6.1432;8.0481;6.3439999999999985;3.4851;4.0079;10.4821;4.6491;2.0795;4.8558;3.8868;5.5002;6.0487;6.4089;3.6635;8.1278;8.0267;9.8973;10.4726;6.8861;4.5051;4.4208;7.4484;7.9713;4.6194;1.9542;7.2187;7.5039;4.3212;5.2646;5.5558;5.9202;0.5815;10.8231;11.2268
0;50.0566;3.4037;8.0321;11.1155;10.1447;11.1186;9.5686;4.3366;4.6238;14.5209;4.6696;7.8562;6.7656;8.4342;7.0053;3.9265;4.7186;11.2908;4.5964;2.1205;5.1738;4.3873;6.4143;7.2509;6.723;3.7468;8.7173;8.5137;10.7246;11.5941;7.4301;4.9729;4.8469;8.3595;9.1609;4.9082;1.5808;7.5352;7.9963;4.9138;5.9615;6.4473;6.1463;0.8763;11.7537;12.382
1;48.5427;3.8192;8.2123;11.1232;10.5725;12.1497;10.1806;4.7798;5.0034;14.9988;4.4198;7.5615;6.7617;8.9222;7.1352;3.6963;4.345;11.2744;4.6956;2.3812;5.4998;4.4309;5.8491;6.4864;6.8885;3.8596;8.8429;8.5897;10.2183;10.9005;7.4142;4.9883;4.8618;8.0539;8.6479;4.7651;2.0485;7.935;8.2076;4.7277;5.8873;6.1631;6.3097;0.6981;11.6324;12.0778
0;50.4243;3.3506;7.4533;10.4138;9.6302;11.0109;9.2611;4.2086;4.4372;14.6013;4.1679;7.159;6.3234;8.4908;6.94;4.0522;4.5891;11.4396;4.2311;2.1811;5.4887;4.6254;6.1227;6.6647;7.3173;3.3701;8.4635;8.2955;10.1712;10.7353;7.351;5.102;4.9994;8.0809;8.5921;5.3467;1.8288;7.5858;7.8376;5.3621;5.7570000000000014;6.0139;6.8286;0.5747;12.104;12.4913
0;50.4033;3.1218;7.6274;10.273;9.6507;11.8846;9.7604;4.4241;4.5799;14.0565;4.5196;7.3645;6.5341;9.2293;7.2926;3.5255;4.0027;10.9919;4.2963;2.0349;5.7415;4.6312;5.7194;6.2429999999999986;6.5061;3.6135;8.6775;8.4173;9.7104;10.2591;6.8635;5.1129;4.8639;7.5732;8.0701;4.6282;2.2672;8.084;8.3337;4.5554;5.8297;6.068;6.2056;0.5531;11.2085;11.6072
0;52.0756;3.504;7.8302;10.8331;10.1832;11.7054;9.613;4.1302;4.453;14.307;4.4261;7.3957;6.7586;9.067;7.1413;3.9235;4.5875;11.0462;4.3251;2.3535;5.6615;4.4148;6.1345;6.7248;6.6641;3.5528;8.5459;8.1286;10.2189;10.8572;6.9460000000000015;5.0026;4.6935;8.2544;8.7888;4.5219;2.1257;8.1986;8.3979;4.5153;6.0786;6.3006;6.0103;0.6822;11.6;11.9777
0;52.122;3.2431;8.0996;11.3688;10.3645;12.1089;9.8667;4.6334;4.8528;14.7907;4.9551;8.214;7.1867;9.5743;7.5606;4.2174;4.7491;11.7341;4.9538;2.2766;5.5698;4.4748;6.2952;6.8526;6.7982;4.0677;8.9874;8.9036;10.9634;11.5521;7.2746;4.9663;4.9231;8.371;8.8955;4.7313;2.373;8.3234;8.5984;4.6303;5.9522;6.2269;6.5079;0.5992;11.936;12.3465
1;49.5081;3.9585;8.2076;11.3879;10.5057;11.7817;9.6977;4.7256;4.8885;15.0201;4.3566;7.5401;6.5961;8.7786;6.9405;4.2369;4.7951;11.2993;4.7075;2.3354;5.4595;4.4293;6.1404;6.7226;6.9662;3.556;8.8566;8.6679;10.6177;11.224;7.3334;5.3095;5.2194;8.3373;8.8948;5.0244;2.149;7.6923;7.9812;5.0436;5.5443;5.8455;6.7142;0.6131;11.8251;12.2556
1;48.8705;4.2129;8.5477;12.2167;11.0908;11.9387;10.0031;4.5832;4.7001;15.2091;4.5102;8.0398;7.0058;8.9609;7.1409;4.1254;4.8438;11.4268;4.8648;2.546;5.5912;4.3542;6.127999999999999;6.895;6.9788;3.6708;8.9365;8.5085;10.8339;11.6266;7.3383;5.2737;4.9255;8.46;9.1859;4.835;1.936;7.727;8.1089;4.7947;5.8275;6.2564;6.1405;0.8034;11.6571;12.2135
0;48.4502;3.3188;7.4787;10.6044;9.5789;10.9348;9.0249;4.0067;4.1251;13.8759;4.2666;7.34;6.3247;8.5036;6.7565;3.7793;4.3223;10.8007;4.3486;2.116;5.2999;4.2238;5.8084;6.4244;6.57;3.2829;8.286;7.9948;9.9643;10.5955;6.7145;5.0367;4.7552;7.7874;8.3837;4.7585;1.9414;7.4831;7.8299;4.7214;5.5467;5.9105;6.1271;0.6329;11.2184;11.7059
1;47.7589;3.7312;7.9455;10.7342;10.2925;11.5142;9.9395;4.4353;4.5913;14.5692;4.2725;7.1628;6.5957;8.588;7.1694;3.7468;4.3224;11.0322;4.3773;2.3544;5.4358;4.5822;5.8468;6.4411;6.8204;3.6535;8.687999999999999;8.4228;9.9176;10.5422;7.4731;5.0363;4.9109;8.0003;8.5595;4.7656;1.6223;7.5699;7.8451;4.7402;5.9477;6.2273;5.9905;0.6312;11.3887;11.8134
0;56.483;4.0663;9.1569;12.5434;11.5068;13.1994;10.9752;5.3461;5.5688;16.0467;5.1392;8.6535;7.4539;9.9472;7.9728;4.7739;5.4345;12.1475;5.1151;2.4057;6.1852;5.1849;7.2664;7.9861;7.0773;3.8451;9.9095;9.7897;12.1202;12.861;7.7626;6.0904;6.0121;9.5418;10.2407;5.1799;2.3389;8.8358;9.2379;5.1446;6.497000000000001;6.9068;6.9106;0.7441;12.8213;13.3858
0;52.5629;3.5416;7.6914;10.9009;10.125;11.861;9.658;4.3571;4.5215;14.6457;4.2467;7.491;6.6344;9.1833;7.1443;3.9475;4.4589;11.3135;4.8422;2.454;5.8718;4.4636;5.8438;6.3748;7.0874;3.8696;9.2702;8.7167;10.4005;10.9579;7.5782;5.4114;4.9628;8.1244;8.6263;4.9446;2.231;8.0764;8.314;4.9031;5.8548;6.113;6.4110000000000005;0.5628;11.7486;12.1351
1;50.4152;3.9798;8.5611;11.4373;10.8886;12.7037;10.99;5.0436;5.2193;15.3072;4.6028;7.6697;6.9203;9.3618;7.8069;3.9498;4.5934;11.4292;4.4319;2.3324;5.9047;4.9585;6.2138;6.9008;6.8826;3.6722;8.9056;8.6593;10.4118;11.1254;7.1853;5.2486;5.0424;8.2931;8.9411;4.7485;1.7881;8.2777;8.618;4.7633;6.4909;6.832000000000002;6.0676;0.721;11.8252;12.341
1;46.499;3.4551;7.8991;10.6382;9.9906;11.574000000000002;9.317;4.4651;4.6642;14.1639;4.4799;7.3536;6.5488;8.7675;6.7034;3.8866;4.4494;10.8319;4.3365;2.1179;5.4293;4.2616;6.1494;6.7362;6.4024;3.4612;8.5902;8.241;10.1859;10.8001;6.9587;5.1384;4.9171;8.1289;8.691;4.598;2.3201;7.848;8.1445;4.5809;5.532;5.8469;6.2697;0.6203;11.3634;11.8063
0;48.0574;3.1291;7.2247;10.1015;9.3285;10.8047;8.955;3.9349;4.1002;13.386;4.1409;7.1901;6.2159;8.2356;6.4965;3.3236;3.8561;10.3574;4.7242;2.1359;4.957;3.7827;5.3987;5.9482;6.2306;3.9089;8.4802;8.0426;9.6874;10.2736;6.9843;4.5815;4.2392;7.4312;7.9552;4.3447;1.8743;7.4252;7.6993;4.3895;5.5585;5.8517;5.6871;0.59;10.7842;11.2011
0;54.4763;3.7115;8.7235;12.4568;11.2404;12.7268;10.3283;4.9443;5.1556;16.28;5.0421;8.9497;7.5353;9.5895;7.4038;4.296;4.9202;12.6612;5.4057;2.5628;5.6702;4.4988;6.8766;7.5519;7.6505;4.0565;9.3528;9.3277;12.0256;12.7249;7.7469;5.3402;5.3598;9.3012;9.9522;5.4278;2.505;8.7934;9.1918;5.3957;6.2892;6.6995;7.4405;0.7042;13.3379;13.8694
0;55.6657;3.7377;8.4719;12.2767;11.0711;11.8832;10.1887;4.4542;4.6821;15.2259;4.828;8.6346;7.3949;9.0722;7.5878;4.4823;5.1296;11.7727;5.259;2.6067;5.5534;4.8295;7.0306;7.7135;7.0373;4.0978;9.3954;9.4432;12.0445;12.75;7.7719;5.2999;5.4419;9.4319;10.0855;4.8610000000000015;1.7831;8.3732;8.7718;4.8889;6.5904;6.9917;6.3861;0.7103;12.5498;13.0733
1;51.5564;4.258;9.0676;12.2399;11.4002;12.2242;10.5539;5.0078;5.2211;15.9628;4.9032;8.0531;7.2127;9.0667;7.5776;4.3467;5.0911;12.0324;4.4830000000000005;2.3345;5.71;4.9394;6.6868;7.4484;7.2492;3.5452;9.0479;8.8887;10.9834;11.7764;7.7129;5.5027;5.4457;8.7819;9.4991;5.2676;1.7057;7.7263;8.0725;5.2984;6.0221;6.3852;6.6563;0.8121;12.254;12.7785
0;57.862;3.8391;9.0007;12.1265;11.366;13.082;10.4879;4.7896;5.0707;16.3399;5.2611;8.3961;7.5808;10.1108;7.7774;4.4976;5.1792;12.7124;4.9638;2.3946;6.0396;4.7953;7.1101;7.7781;7.48;3.9803;9.6758;9.391;11.6632;12.3771;8.0283;5.7059;5.5829;9.3751;10.0114;5.4085;2.689;9.1374;9.4543;5.3816;6.4487;6.7779;7.4535;0.7303;13.3817;13.8706
1;47.4549;3.6765;7.7964;11.0622;9.8846;11.5134;9.2648;4.4563;4.6146;14.3007;4.2147;7.4929;6.2673;8.6688;6.7167;3.8195;4.3651;10.8198;4.6911;2.0985;5.3653;4.3267;5.6505;6.2109;6.6207;3.7392;8.5504;8.5235;10.1355;10.7238;6.819;4.8823;4.8414;7.5698;8.0979;4.7219;2.3693;7.5646;7.8186;4.6812;5.2025;5.4493;6.5539999999999985;0.5997;11.1806;11.5876
1;47.584;4.019;8.345;11.0808;10.6416;11.9562;10.0296;4.8363;4.9988;14.8942;4.4346;7.1686;6.7072;8.8212;7.1627;4.0976;4.6331;11.1176;4.3503;2.2972;5.3229;4.4581;5.9561;6.4923;6.7097;3.7815;8.4517;8.361;10.025;10.5935;7.2484;4.6706;4.7604;7.9794;8.4738;4.5882;2.0393;7.6857;7.9271;4.5699;5.6527;5.8878;6.2625;0.5811;11.4101;11.7833
0;52.177;3.6464;8.4234;11.8048;10.7474;11.9105;10.1069;4.4253;4.7251;14.9759;4.8367;8.2556;7.1486;9.1316;7.5197;4.324;5.0011;11.5706;4.7055;2.3246;5.7576;4.9346;6.996;7.6591;6.8647;3.7893;9.1388;9.0468;11.4828;12.1777;7.4442;5.3597;5.3302;9.0792;9.7025;4.8508;1.8749;8.3564;8.6733;4.8159;6.4816;6.8072;6.2947;0.7145;12.2956;12.7654
0;48.7229;2.9365;7.028;9.7616;8.9767;10.5475;8.6299;4.0264;4.3192;13.1746;4.1331;7.0323;6.0548;8.1543;6.3592;3.4148;3.9999;10.3332;4.5748;1.9838;4.928;3.7692;5.3199;5.8561;6.2163;3.7994;8.4041;7.9682;9.5027;10.096;6.9757;4.6189;4.2709;7.1931;7.6932;4.4776;1.952;7.1342;7.3201;4.4591;5.1901;5.4012;5.8365;0.6162;10.6061;10.9603
1;56.3967;4.9314;10.0017;13.4816;12.7527;14.6772;12.1756;6.0472;6.2553;18.0866;5.2019;8.6915;7.8849;10.8857;8.7198;5.1789;5.8273;13.4284;5.4;2.787;6.8164;5.5931;7.2164;7.8765;8.2457;4.2147;10.6306;10.4;12.3452;13.0374;8.7111;6.4246;6.3237;9.7915;10.4149;5.8612;2.6231;9.3519;9.6392;5.8357;6.7307;7.0184;7.8585;0.7049;13.897;14.3654
0;47.0919;3.3388;7.5281;10.6142;9.75;10.963;9.0449;4.1905;4.3432;13.558;4.2636;7.3509;6.4814;8.3971;6.6521;3.5761;4.075;10.4384;4.2903;2.2231;5.1922;4.1647;5.5329;6.046;6.2408;3.5847;8.0792;7.8745;9.6575;10.1957;6.5672;4.5094;4.3917;7.4577;7.9278;4.183;1.9643;7.2297;7.4491;4.2079;5.2658;5.4947;5.6958;0.5531;10.5255;10.8793
1;48.9859;4.7819;9.7677;13.1908;12.2373;13.1202;11.184;5.5314;5.8078;17.1427;5.0921;8.4658;7.5470000000000015;9.6363;7.853;4.9003;5.6771;12.7652;4.6252;2.4697;6.2302;5.1747;7.2792;8.0339;7.8246;3.6316;9.5517;9.1837;11.7851;12.5683;8.1333;5.9217;5.6493;9.4175;10.1166;5.6984;1.9423;8.1812;8.4798;5.6546;6.2746;6.6214;7.0905;0.8197;13.0705;13.5517
0;57.4558;3.8631;8.8067;12.461;11.5101;13.7373;10.7459;5.1088;5.3696;16.9165;5.0189;8.744;7.7123;10.6964;7.9583;4.5852;5.2082;13.2361;5.3755;2.7035;6.7607;5.0311;6.8616;7.4877;8.2482;4.6258;10.297;9.8037;11.9828;12.6421;8.4767;5.7186;5.3438;9.1915;9.7654;5.6663;3.0737;9.46;9.7279;5.56;6.3902;6.6792;7.8225;0.6746;13.707;14.1472
0;56.1304;3.5075;7.9129;10.9827;10.1263;12.4162;9.411;4.7195;4.9573;15.3;4.4801;7.5929;6.6703;9.7216;6.979;4.5636;5.1353;11.9542;4.6011;2.2179;6.2708;4.5649;6.6158;7.2281;7.4919;3.8102;9.3519;8.7549;10.9979;11.6277;7.5583;5.5994;5.0783;8.5713;9.1558;5.4182;3.077;8.7265;9.0491;5.3723;5.6712;6.0291;7.5147;0.633;12.795;13.2721
0;48.2767;3.5148;7.6612;10.5471;9.9026;11.1119;9.3134;4.3688;4.4852;14.2977;4.2542;7.0944;6.4687;8.5846;6.9051;4.0576;4.5760000000000005;11.0702;4.178;2.2433;5.4926;4.3724;5.9171;6.5129;6.8749;3.3895;8.5009;8.0118;9.9128;10.5202;7.2356;5.1117;4.7382;7.9106;8.4818;4.8999;1.8064;7.3164;7.6402;4.8929;5.5387;5.8925;6.1419;0.6083;11.3336;11.7913
0;49.042;3.3185;7.9268;10.9461;10.0798;12.015;9.7092;4.5908;4.7839;14.8688;4.6438;7.8303;6.7784;9.2881;7.1418;3.9281;4.4227;11.6443;4.8239;2.1684;5.705;4.3591;6.1289;6.643;7.0241;4.0398;9.1765;8.7217;10.6192;11.1624;7.487999999999999;5.1723;4.7771;8.1131;8.5991;5.0363;2.3607;8.1899;8.4306;5.0388;5.8358;6.0944;6.7087;0.5498;12.0532;12.4345
1;47.8768;3.9327;8.2028;11.8525;10.6101;11.9896;9.6463;4.8314;4.9289;14.9264;4.3838;8.0093;6.7458;8.9104;6.8456;4.2164;4.6813;11.2187;5.011;2.4198;5.3724;4.2016;5.9956;6.5144;6.849;3.8212;8.586;8.5897;10.8644;11.3969;6.8915;4.8271;4.8443;8.1957;8.6899;4.6824;2.4323;7.8384;8.1315;4.6337;5.4064;5.7075;6.5846;0.5362;11.6207;12.0224
1;48.0047;4.0913;8.2824;12.0944;10.7543;11.2065;9.5439;4.4727;4.5598;14.5403;4.3532;8.0505;6.7752;8.4539;6.9458;4.0634;4.6435;10.9282;5.0123;2.4772;5.4745;4.5798;6.0051;6.6326;6.6881;3.7624;9.2358;9.003;10.8667;11.5135;7.5103;5.4747;5.3241;8.283;8.8797;4.7703;1.6701;7.0529;7.3452;4.7845;5.3936;5.7101;6.0128;0.6534;11.0323;11.476
1;48.6285;4.0225;8.0832;11.5042;10.4357;11.7335;9.6297;4.3778;4.6112;14.7937;4.1516;7.5752;6.4689999999999985;8.7284;6.9141;4.2473;4.9814;11.0372;4.6389999999999985;2.3601;5.6953;4.7143;6.3885;7.136;6.9394;3.5028;8.8278;8.7545;10.8635;11.6352;7.112;5.3503;5.3222;8.5536;9.2663;4.9114;2.1908;8.0283;8.4144;4.8945;5.8379;6.2305;6.6176;0.7819;11.9451;12.5049
0;50.6644;3.9988;8.6856;12.4329;11.2654;12.4738;10.293;4.891;5.0577;15.5395;4.7253;8.6414;7.2946;9.1838;7.1664;4.2313;4.9047;11.7041;5.352;2.5807;5.6396;4.4154;6.6814;7.4226;7.0592;4.4265;9.3996;9.1503;11.7938;12.5545;7.7364;4.9886;4.8559;8.9696;9.6752;4.7265;2.2151;8.3998;8.8451;4.7204;6.2013;6.676;6.4144;0.7626;12.3151;12.8965
1;54.1436;4.7689;9.7543;13.9311;12.4247;13.7923;11.437;5.4569;5.622999999999998;17.17;5.0813;9.2853;7.7185;10.1995;8.0525;5.0583;5.7526;12.7241;5.6621;2.6766;6.5714;5.2664;7.5705;8.3211;7.7414;4.3676;10.5435;10.2145;13.0565;13.8242;8.3284;6.2144;5.9068;9.9887;10.7097;5.4838;2.3782;9.1268;9.5443;5.4502;6.7743;7.2266;7.1414;0.7717;13.5116;14.0902
1;47.1787;3.7833;8.0649;11.169;10.3757;11.4001;9.6253;4.6943;4.7948;14.501;4.371;7.4774;6.6506;8.455;6.8688;4.0288;4.5623;10.9483;4.4608;2.3174;5.1136;4.2187;5.902;6.5113;6.6204;3.5217;8.2297;8.1069;10.1884;10.8123;6.937;4.7123;4.6918;7.9896;8.5718;4.5816;1.8273;7.315;7.6662;4.5852;5.4891;5.8515;6.0545;0.6261;11.1911;11.6616
1;56.7799;4.8553;9.7666;13.5473;12.3808;14.1468;11.848;5.5147;5.7472;17.3352;4.9974;8.8283;7.595;10.4729;8.4107;5.0957;5.8399;12.7718;5.3059;2.6143;6.8986;5.6389;7.593;8.3554;7.8587;4.3273;10.575;10.2101;12.7015;13.4888;8.3146;6.2787;5.9469;9.8749;10.5951;5.5092;2.3425;9.4138;9.7854;5.5949;7.0788;7.4742;7.2245;0.7979;13.6958;14.2604
0;48.3181;3.509;7.5769;10.6722;9.7043;10.6466;8.9975;4.1099;4.2911;13.5842;4.1279;7.2767;6.2319;7.909;6.4309;3.7045;4.3184;10.2714;4.376;2.1347;4.9016;4.0958;5.8353;6.4731;6.2076;3.4339;8.0505;7.947999999999999;10.0067;10.6694;6.6317;4.6254;4.5886;7.7959;8.4029;4.3674;1.6968;7.1443;7.4837;4.4104;5.4485;5.7997;5.7517;0.6705;10.8176;11.2943
0;51.7419;3.7307;8.6735;11.8873;10.7485;12.3117;9.7605;4.5369;4.8315;15.3407;5.0296;8.2359;7.0956;9.6138;7.2476;4.466;5.1791;11.8956;4.6704;2.0752;6.1719;4.8152;7.1299;7.8451;6.9834;3.9598;9.6822;9.1417;11.5242;12.2735;7.7041;5.7465;5.2971;8.9573;9.6344;5.1314;2.5699;8.5339;8.8605;5.1792;5.9989;6.3754;6.9138;0.7641;12.5368;13.0536
1;49.0578;4.0257;8.3571;11.5076;10.6424;11.9909;9.6452;4.7516;4.9361;15.1899;4.4501;7.5566;6.6891;8.9527;6.8528;4.1422;4.8067;11.4189;4.5214;2.2986;5.5402;4.3249;6.0607;6.7463;6.9917;3.4828;8.6523;8.3784;10.3897;11.1048;7.1064;5.1866;5.017;8.1754;8.8238;4.9697;2.3912;7.7614;8.0831;5.0363;5.3745;5.7217;6.8397;0.7289;11.8094;12.3073
1;48.5365;3.9066;8.2166;11.2445;10.5376;11.6499;10.0612;4.6858;4.8756;14.952;4.4123;7.4307;6.7096;8.6984;7.3191;4.2166;4.8711;11.32;4.4706;2.3219;5.3997;4.6663;6.1896;6.8811;6.961;3.7161;8.6397;8.5596;10.442;11.1587;7.4389;4.9243;4.9485;8.2411;8.8928;4.88;1.6669999999999998;7.6;7.9568;4.8551;5.9343;6.2922;6.2388;0.7238;11.7062;12.2112
1;49.247;4.005;8.1929;11.8096;10.6187;11.715;9.7653;4.6956;4.8149;14.8399;4.2948;7.8868;6.7142;8.7048;7.0616;4.1251;4.7324;11.1398;4.8612;2.4281;5.4835;4.6878;6.0083;6.6778;6.9082;4.0022;8.7708;8.9036;10.7395;11.4253;7.2475;4.7903;4.9911;8.0758;8.7044;4.6721;2.0755;7.5504;7.9087;4.646;5.4857;5.8334;6.4192;0.6906;11.4186;11.9167
0;51.649;3.3626;7.8861;10.7838;10.1152;11.7255;9.6044;4.5602;4.8559;14.6762;4.5387;7.6406;6.7605;8.9596;6.9632;3.9803;4.6106;11.4158;4.4955;2.2336;5.7288;4.4649;6.3695;6.9921;6.9676;3.7881;9.0215;8.5019;10.5924;11.2494;7.5522;5.2384;4.8469;8.3608;8.9426;4.9658;2.1484;8.0087;8.2797;4.9116;5.8846;6.1915;6.417000000000002;0.6718;11.934;12.3676
0;57.6735;3.9659;8.9146;12.598;11.4593;13.842;10.3394;4.8673;5.1639;16.7577;4.9871;8.8676;7.5002;10.545;7.3174;4.5472;5.2387;12.8842;5.5334;2.6076;6.6168;4.649;7.307;7.9888;7.9121;4.1741;10.2677;9.7523;12.482;13.2014;8.0333;6.1784;5.7227;9.8122;10.4687;5.65;3.5876;10.0555;10.4061;5.5953;6.4824;6.8679;8.1168;0.7304;14.1387;14.6672
0;50.4249;3.2782;7.3105;10.621;9.5404;11.1827;8.705;4.2118;4.407;14.2111;4.1199;7.4066;6.3365;8.7208;6.4801;4.087;4.6177;11.1372;4.4401;2.2299;5.5629;4.2074;5.9768;6.5487;7.0454;3.5523;8.3339;8.0746;10.3026;10.8884;6.8244;4.8455;4.6077;7.9029;8.4432;4.9433;2.5418;7.7886;8.0933;4.8914;5.256;5.5846;6.8171;0.5915;11.7398;12.1757
0;50.6725;3.801;8.3546;11.7733;10.623;11.9725;9.6747;4.276;4.5415;14.9887;4.6353;8.1036;6.8511;9.0283;6.8554;3.9894;4.6726;11.392;5.0112;2.3262;5.5435;4.12;6.4947;7.1359;6.7954;3.7116;9.1906;8.6602;11.1642;11.854;7.3539;5.5053;5.0306;8.7556;9.3715;4.9567;2.3031;8.3324;8.6154;4.9234;6.072;6.4028;6.4584;0.7125;12.1827;12.6402
0;48.0116;3.2566;7.7732;10.7349;9.6829;11.0348;9.1621;4.1122;4.3136;13.7897;4.5635;7.5855;6.4524;8.5078;6.6794;3.6677;4.3158;10.7057;4.3151;1.9235;5.2891;4.0106;6.0831;6.7773;6.2316;3.4032;8.4691;7.8366;10.1452;10.8671;6.7741;5.0959;4.4724;7.8794;8.5483;4.62;1.8731;7.5076;7.8654;4.5684;5.7124;6.1268;5.671;0.7286;11.0746;11.6015
1;48.8959;4.1734;8.3724;11.7435;10.7874;11.954;9.9144;4.7161;4.8855;15.3717;4.2806;7.7024;6.6516;8.8068;6.9596;4.1244;4.8509;11.4571;4.7848;2.4385;5.7382;4.604;6.1878;6.9545;7.2379;3.5896;9.1877;8.842;10.7718;11.5633;7.6514;5.6037;5.3518;8.4645;9.1994;5.2446;2.0636;7.7341;8.1146;5.1917;5.6795;6.0903;6.7138;0.7977;11.9786;12.5439
0;48.4228;3.6481;8.2173;11.2573;10.449000000000002;12.1068;9.6289;4.4141;4.5803;14.8555;4.7238;7.6901;6.8902;9.3652;7.028;3.8503;4.4877;11.4583;4.8328;2.2623;5.5189;3.9189;5.8657;6.5238;6.7407;3.8949;9.0061;8.3371;10.289;10.9937;7.332000000000002;5.1306;4.5881;8.0232;8.6498;4.7668;2.4862;8.1362;8.4417;4.7414;5.6764;6.0251;6.3853;0.7145;11.664;12.1518
