ID;Nom;LS;Sexe
1;P6210008.JPG;37.43776; F
2;P6210009.JPG;42.73277; F
3;P6210013.JPG;35.7186; M
4;P6210016.JPG;37.45871; M
5;P6210019.JPG;34.68671; F
6;P6210021.JPG;38.85894; M
7;P6210024.JPG;38.9474; M
8;P6210028.JPG;39.18032; M
9;P6210030.JPG;43.39958; F
10;P6210034.JPG;38.19043; M
11;P6210037.JPG;40.75386; M
12;P6210039.JPG;33.08431; F
13;P6210043.JPG;43.02376; M
14;P6210046.JPG;39.29278; F
15;P6210051.JPG;42.54729; Undetermined
16;P6210054.JPG;39.45631; M
17;P6210058.JPG;40.53781; M
18;P6210064.JPG;40.80129; Undetermined
19;P6210073.JPG;39.01025; M
20;P6210075.JPG;40.45002; M
21;P6210078.JPG;35.85256; F
22;P6210088.JPG;37.5805; M
23;P6210090.JPG;42.86831; M
24;P6210097.JPG;38.09803; M
25;P6210100.JPG;33.13413; F
26;P6210106.JPG;42.08668; Undetermined
27;P6210111.JPG;37.8213; M
28;P6210114.JPG;37.4508; M
29;P6210118.JPG;38.18072; Undetermined
30;P6210120.JPG;32.76671; F
31;P6210123.JPG;33.7232; Undetermined (possibly M )
32;P6210127.JPG;33.64859; F
33;P6210133.JPG;41.34012; M
34;P6210135.JPG;47.47116; F
35;P6210139.JPG;35.82104; M
36;P6210141.JPG;33.05911; F
37;P6210145.JPG;42.85993; M
38;P6210149.JPG;40.57503; M
39;P6210151.JPG;34.42849; F
40;P6210154.JPG;34.78137; M
41;P6210158.JPG;38.27189; M
42;P6210160.JPG;45.11142; F
43;P6210173.JPG;36.38614; F
44;P6210176.JPG;43.64704; M
45;P6210178.JPG;40.57272; Undetermined
46;P6210181.JPG;32.28528; F
47;P6210184.JPG;29.91768; F
48;P6210190.JPG;33.34681; F
49;P6210192.JPG;29.68877; F
50;P6210196.JPG;36.35812; M
51;P6210199.JPG;38.023; M
52;P6210202.JPG;44.03565; F
53;P6210205.JPG;35.78889; M
54;P6210208.JPG;37.15047; F
55;P6210210.JPG;29.17276; F
56;P6210214.JPG;37.02086; M
57;P6210217.JPG;30.33323; F
58;P6210219.JPG;36.58228; F
59;P6210223.JPG;34.7844; F
60;P6210225.JPG;37.11373; M
61;P6210229.JPG;30.43834; F
62;P6210232.JPG;29.25786; F
63;P6210237.JPG;33.12666; M
64;P6210242.JPG;35.93174; M
