ID;Nom;LS;Sexe
127;P6210514.JPG;41.52661; M
128;P6210517.JPG;38.64613; M
129;P6210520.JPG;34.21851; Undetermined
130;P6210522.JPG;43.02073; F
131;P6210525.JPG;38.00339; M
132;P6210532.JPG;43.37362; Undetermined
133;P6210569.JPG;37.66525; Undetermined
134;P6210572.JPG;42.60127; F
135;P6210576.JPG;41.31445; M
136;P6210580.JPG;40.61296; M
137;P6210582.JPG;38.91015; M
138;P6210589.JPG;45.68651; F
139;P6210601.JPG;39.84649; M
140;P6210604.JPG;42.27937; M
141;P6210611.JPG;41.59911; M
142;P6210616.JPG;36.51616; M
143;P6210620.JPG;36.71046; F
144;P6210623.JPG;37.79203; F
145;P6210634.JPG;38.13326; M
146;P6210640.JPG;37.08487; M
147;P6210646.JPG;42.11885; M
148;P6210653.JPG;40.05804; Undetermined (possibly M )
149;P6210687.JPG;37.57989; M
150;P6210692.JPG;37.33388; M
151;P6210696.JPG;42.87963; F
152;P6210711.JPG;43.24783; M
153;P6210714.JPG;42.30634; M
154;P6210717.JPG;43.14464; M
155;P6210720.JPG;39.76397; M
156;P6210726.JPG;41.72062; M
157;P6210729.JPG;41.5104; M
158;P6210732.JPG;44.49476; Undetermined (possibly M )
159;P6210736.JPG;40.28683; M
160;P6210739.JPG;39.59175; F
161;P6210741.JPG;40.96644; M
162;P6210744.JPG;40.97302; M
163;P6210746.JPG;40.03695; M
164;P6210749.JPG;43.81069; M
165;P6210756.JPG;41.27007; M
166;P6210758.JPG;33.75648; M
167;P6210761.JPG;40.88856; M
168;P6210767.JPG;38.20908; M
169;P6210770.JPG;36.57597; M
170;P6210776.JPG;41.99964; Undetermined (possibly M )
171;P6210780.JPG;38.16869; M
172;P6210782.JPG;40.84222; M
173;P6210790.JPG;40.9249; F
174;P6210792.JPG;40.05556; M
175;P6210802.JPG;40.15057; Undetermined (possibly M )
176;P6210806.JPG;42.06672; Undetermined (possibly M )
177;P6210824.JPG;39.59159; F
178;P6210827.JPG;45.10019; M
179;P6210829.JPG;42.92313; M
180;P6210832.JPG;36.36525; M
181;P6210836.JPG;38.66632; F
182;P6210839.JPG;44.07599; F
183;P6210842.JPG;38.28785; M
184;P6210845.JPG;45.65316; Undetermined
185;P6210858.JPG;39.94258; M
186;P6210865.JPG;41.38014; M
187;P6210874.JPG;44.62807; F
188;P6210881.JPG;45.05335; F
189;P6210892.JPG;44.78968; M
190;P6210899.JPG;42.29506; M
191;P6210914.JPG;45.24641; F
192;P6210916.JPG;42.815; F
193;P6210919.JPG;43.57896; F
194;P6210925.JPG;45.70873; M
195;P6210935.JPG;45.07802; F
196;P6210938.JPG;41.00069; Undetermined
197;P6210946.JPG;43.4241; F
198;P6210947.JPG;43.48064; F
199;P6210950.JPG;41.49092; M
200;P6210964.JPG;43.78932; M
201;P6210971.JPG;43.37287; F
202;P6210974.JPG;36.27232; M
